TraumaChek Data File,,,,,,,,,,,,,
,,,,,,,,,,,,,
Test Date:,2025-04-15,,,,,,,,,,,,
Test ID:,NULL,,,,,,,,,,,,
,,,,,,,,,,,,,
Output Parameters:,,,,,,,,,,,,,
,Channel 1,Channel 2,Channel 3,Channel 4,,,,,,,,,
0.317,161.662,157.298,149.360,147.309,0.000,0.000,0.000,0.000,21.720,0.0,0.0,0.0,0.0
0.333,161.873,157.491,149.367,147.334,0.000,0.000,0.000,0.000,21.700,0.0,0.0,0.0,0.0
0.350,162.056,157.701,149.399,147.361,0.000,0.000,0.000,0.000,21.700,0.0,0.0,0.0,0.0
0.367,163.058,158.800,149.496,147.493,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
0.383,163.260,159.022,149.535,147.506,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
0.400,163.451,159.218,149.555,147.522,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
0.417,163.665,159.442,149.564,147.511,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
0.433,164.554,160.343,149.604,147.568,0.000,0.000,0.000,0.000,21.540,0.0,0.0,0.0,0.0
0.450,164.754,160.558,149.605,147.594,0.000,0.000,0.000,0.000,21.540,0.0,0.0,0.0,0.0
0.467,164.960,160.802,149.600,147.585,0.000,0.000,0.000,0.000,21.540,0.0,0.0,0.0,0.0
0.483,165.184,161.011,149.593,147.579,0.000,0.000,0.000,0.000,21.550,0.0,0.0,0.0,0.0
0.500,165.987,161.892,149.575,147.594,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
0.517,166.162,162.100,149.554,147.586,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
0.533,166.350,162.313,149.562,147.580,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
0.550,166.565,162.494,149.515,147.541,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
0.567,166.770,162.707,149.485,147.524,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
0.583,166.969,162.891,149.460,147.507,0.000,0.000,0.000,0.000,21.650,0.0,0.0,0.0,0.0
0.600,167.166,163.106,149.412,147.488,0.000,0.000,0.000,0.000,21.670,0.0,0.0,0.0,0.0
0.617,167.358,163.295,149.356,147.444,0.000,0.000,0.000,0.000,21.670,0.0,0.0,0.0,0.0
0.633,167.551,163.522,149.326,147.423,0.000,0.000,0.000,0.000,21.700,0.0,0.0,0.0,0.0
0.650,167.766,163.703,149.302,147.371,0.000,0.000,0.000,0.000,21.710,0.0,0.0,0.0,0.0
0.667,167.959,163.880,149.279,147.324,0.000,0.000,0.000,0.000,21.720,0.0,0.0,0.0,0.0
0.683,168.157,164.095,149.257,147.317,0.000,0.000,0.000,0.000,21.720,0.0,0.0,0.0,0.0
0.700,168.358,164.270,149.209,147.287,0.000,0.000,0.000,0.000,21.720,0.0,0.0,0.0,0.0
0.717,168.547,164.477,149.209,147.279,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
0.733,168.734,164.677,149.199,147.245,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
0.750,168.936,164.908,149.160,147.207,0.000,0.000,0.000,0.000,21.720,0.0,0.0,0.0,0.0
0.767,169.126,165.079,149.160,147.145,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
0.783,169.326,165.303,149.160,147.101,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
0.800,169.520,165.501,149.128,147.054,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
0.817,169.699,165.699,149.100,147.029,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
0.833,169.889,165.899,149.069,146.980,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
0.850,170.093,166.100,149.044,146.908,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
0.867,170.283,166.324,149.016,146.862,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
0.883,170.459,166.546,148.958,146.809,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
0.900,170.641,166.746,148.903,146.757,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
0.917,170.810,166.915,148.886,146.707,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
0.933,170.991,167.140,148.856,146.652,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
0.950,171.175,167.332,148.822,146.618,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
0.967,171.362,167.512,148.803,146.570,0.000,0.000,0.000,0.000,21.780,0.0,0.0,0.0,0.0
0.983,171.542,167.711,148.768,146.500,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.000,171.720,167.933,148.703,146.441,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.017,171.899,168.126,148.660,146.381,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.033,172.071,168.319,148.615,146.319,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.050,172.250,168.489,148.569,146.235,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.067,172.433,168.681,148.545,146.149,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.083,172.626,168.895,148.472,146.079,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.100,172.806,169.087,148.375,146.034,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.117,172.976,169.282,148.274,145.947,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.133,173.136,169.477,148.191,145.870,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.150,173.309,169.669,148.074,145.812,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.167,173.467,169.834,148.003,145.766,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.183,173.957,170.402,147.712,145.563,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.200,174.115,170.590,147.576,145.498,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.217,174.262,170.757,147.429,145.438,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.233,174.405,170.918,147.306,145.367,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.250,174.569,171.109,147.178,145.295,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.267,175.428,172.028,146.321,144.946,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.283,175.598,172.237,146.108,144.876,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.300,175.762,172.416,145.889,144.792,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.317,176.133,172.771,145.511,144.631,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.333,176.301,172.946,145.301,144.556,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.350,176.465,173.119,145.087,144.475,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.367,176.636,173.318,144.832,144.376,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.383,176.807,173.469,144.571,144.291,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.400,176.967,173.643,144.327,144.177,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.417,177.126,173.839,144.068,144.085,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.433,177.278,174.007,143.850,143.995,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.450,177.447,174.178,143.597,143.929,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.467,177.604,174.345,143.347,143.833,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.483,177.893,174.681,142.854,143.644,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.500,178.027,174.844,142.608,143.550,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.517,178.175,175.009,142.363,143.466,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.533,178.313,175.173,142.125,143.379,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.550,178.633,175.470,141.673,143.194,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.567,178.785,175.628,141.442,143.113,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.583,178.931,175.772,141.247,143.015,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.600,179.082,175.951,141.016,142.908,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.617,179.246,176.107,140.797,142.794,0.000,0.000,0.000,0.000,21.770,0.0,0.0,0.0,0.0
1.633,179.392,176.264,140.573,142.712,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.650,184.167,181.451,134.436,138.869,0.000,0.000,0.000,0.000,21.720,0.0,0.0,0.0,0.0
1.667,184.292,181.589,134.326,138.757,0.000,0.000,0.000,0.000,21.710,0.0,0.0,0.0,0.0
1.683,184.844,182.118,133.810,138.349,0.000,0.000,0.000,0.000,21.710,0.0,0.0,0.0,0.0
1.700,184.988,182.255,133.664,138.225,0.000,0.000,0.000,0.000,21.710,0.0,0.0,0.0,0.0
1.717,185.094,182.413,133.506,138.115,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.733,185.211,182.546,133.403,138.028,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.750,185.337,182.675,133.239,137.940,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.767,185.467,182.831,133.095,137.834,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.783,185.591,182.968,132.941,137.735,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.800,186.697,184.072,131.878,136.791,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.817,186.812,184.220,131.770,136.699,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.833,188.287,185.792,130.750,135.541,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.850,188.406,185.910,130.643,135.468,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.867,189.384,187.003,130.009,134.889,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.883,189.480,187.097,129.953,134.819,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.900,189.588,187.222,129.896,134.756,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.917,189.689,187.309,129.855,134.695,0.000,0.000,0.000,0.000,21.750,0.0,0.0,0.0,0.0
1.933,189.798,187.401,129.775,134.616,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.950,189.908,187.511,129.729,134.542,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.967,190.120,187.712,129.667,134.433,0.000,0.000,0.000,0.000,21.740,0.0,0.0,0.0,0.0
1.983,190.222,187.826,129.596,134.388,0.000,0.000,0.000,0.000,21.720,0.0,0.0,0.0,0.0
2.000,190.323,187.938,129.558,134.350,0.000,0.000,0.000,0.000,21.720,0.0,0.0,0.0,0.0
2.017,190.404,188.050,129.518,134.300,0.000,0.000,0.000,0.000,21.720,0.0,0.0,0.0,0.0
2.033,190.522,188.182,129.508,134.244,0.000,0.000,0.000,0.000,21.720,0.0,0.0,0.0,0.0
2.050,190.620,188.287,129.494,134.173,0.000,0.000,0.000,0.000,21.720,0.0,0.0,0.0,0.0
2.067,195.278,193.359,127.860,132.690,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
2.083,195.379,193.444,127.803,132.675,0.000,0.000,0.000,0.000,21.610,0.0,0.0,0.0,0.0
2.100,195.474,193.510,127.780,132.657,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
2.117,195.580,193.592,127.762,132.610,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
2.133,195.663,193.701,127.706,132.578,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
2.150,195.764,193.791,127.651,132.576,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.167,196.056,194.056,127.589,132.563,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.183,196.132,194.140,127.591,132.571,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.200,196.212,194.233,127.552,132.552,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
2.217,201.862,200.463,125.926,131.436,0.000,0.000,0.000,0.000,21.650,0.0,0.0,0.0,0.0
2.233,201.897,200.522,125.912,131.427,0.000,0.000,0.000,0.000,21.650,0.0,0.0,0.0,0.0
2.250,201.952,200.600,125.918,131.425,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.267,202.000,200.683,125.875,131.393,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.283,202.054,200.744,125.849,131.382,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.300,202.674,201.286,125.693,131.279,0.000,0.000,0.000,0.000,21.600,0.0,0.0,0.0,0.0
2.317,202.741,201.358,125.678,131.244,0.000,0.000,0.000,0.000,21.600,0.0,0.0,0.0,0.0
2.333,202.796,201.404,125.686,131.233,0.000,0.000,0.000,0.000,21.600,0.0,0.0,0.0,0.0
2.350,202.889,201.505,125.679,131.233,0.000,0.000,0.000,0.000,21.600,0.0,0.0,0.0,0.0
2.367,202.933,201.576,125.663,131.201,0.000,0.000,0.000,0.000,21.580,0.0,0.0,0.0,0.0
2.383,203.847,202.657,125.265,131.082,0.000,0.000,0.000,0.000,21.580,0.0,0.0,0.0,0.0
2.400,203.888,202.707,125.276,131.069,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
2.417,203.913,202.751,125.257,131.059,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
2.433,204.008,202.837,125.195,131.058,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.450,204.041,202.881,125.175,131.048,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.467,204.116,202.953,125.142,131.027,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.483,204.157,202.998,125.154,131.015,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.500,204.203,203.037,125.137,131.033,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.517,204.240,203.079,125.110,131.022,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.533,204.298,203.115,125.069,131.022,0.000,0.000,0.000,0.000,21.650,0.0,0.0,0.0,0.0
2.550,204.333,203.157,125.059,131.015,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.567,204.371,203.190,125.048,131.006,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.583,204.409,203.231,125.041,131.005,0.000,0.000,0.000,0.000,21.640,0.0,0.0,0.0,0.0
2.600,204.447,203.251,125.027,130.972,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
2.617,205.059,203.832,124.801,130.779,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
2.633,205.084,203.866,124.818,130.748,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
2.650,205.187,203.969,124.807,130.738,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
2.667,205.220,203.994,124.811,130.727,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
2.683,205.268,204.029,124.785,130.720,0.000,0.000,0.000,0.000,21.610,0.0,0.0,0.0,0.0
2.700,205.300,204.068,124.801,130.737,0.000,0.000,0.000,0.000,21.610,0.0,0.0,0.0,0.0
2.717,205.326,204.087,124.762,130.727,0.000,0.000,0.000,0.000,21.610,0.0,0.0,0.0,0.0
2.733,205.389,204.154,124.729,130.699,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
2.750,205.418,204.178,124.707,130.666,0.000,0.000,0.000,0.000,21.620,0.0,0.0,0.0,0.0
2.767,205.427,204.201,124.696,130.654,0.000,0.000,0.000,0.000,21.600,0.0,0.0,0.0,0.0
2.783,205.436,204.220,124.683,130.675,0.000,0.000,0.000,0.000,21.610,0.0,0.0,0.0,0.0
2.800,205.692,203.029,123.801,130.073,0.000,0.000,0.000,0.000,21.610,0.0,0.0,0.0,0.0
2.817,205.663,202.993,123.786,130.066,0.000,0.000,0.000,0.000,21.610,0.0,0.0,0.0,0.0
2.833,205.619,202.963,123.803,130.076,0.000,0.000,0.000,0.000,21.480,0.0,0.0,0.0,0.0
2.850,205.595,202.938,123.769,130.073,0.000,0.000,0.000,0.000,21.480,0.0,0.0,0.0,0.0
2.867,205.561,202.899,123.763,130.068,0.000,0.000,0.000,0.000,21.480,0.0,0.0,0.0,0.0
2.883,205.548,202.852,123.757,130.042,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
2.900,205.507,202.811,123.753,130.041,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
2.917,205.475,202.788,123.748,130.034,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
2.933,205.445,202.746,123.746,130.020,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
2.950,205.098,202.330,123.720,129.979,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
2.967,205.043,202.282,123.710,129.972,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
2.983,205.006,202.232,123.700,129.983,0.000,0.000,0.000,0.000,21.540,0.0,0.0,0.0,0.0
3.000,203.319,200.520,123.371,129.834,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.017,203.244,200.454,123.368,129.808,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.033,203.181,200.399,123.361,129.802,0.000,0.000,0.000,0.000,21.520,0.0,0.0,0.0,0.0
3.050,203.096,200.340,123.331,129.768,0.000,0.000,0.000,0.000,21.520,0.0,0.0,0.0,0.0
3.067,203.026,200.298,123.353,129.763,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
3.083,202.961,200.239,123.358,129.763,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
3.100,202.875,200.180,123.355,129.754,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
3.117,202.789,200.107,123.347,129.774,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
3.133,202.566,199.951,123.347,129.757,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
3.150,202.503,199.903,123.342,129.775,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
3.167,202.429,199.850,123.344,129.764,0.000,0.000,0.000,0.000,21.540,0.0,0.0,0.0,0.0
3.183,198.813,197.123,123.176,129.539,0.000,0.000,0.000,0.000,21.540,0.0,0.0,0.0,0.0
3.200,198.701,197.037,123.171,129.511,0.000,0.000,0.000,0.000,21.540,0.0,0.0,0.0,0.0
3.217,198.571,196.960,123.166,129.498,0.000,0.000,0.000,0.000,21.570,0.0,0.0,0.0,0.0
3.233,190.360,190.388,122.894,129.398,0.000,0.000,0.000,0.000,21.550,0.0,0.0,0.0,0.0
3.250,190.225,190.245,122.892,129.394,0.000,0.000,0.000,0.000,21.540,0.0,0.0,0.0,0.0
3.267,190.082,190.124,122.870,129.360,0.000,0.000,0.000,0.000,21.540,0.0,0.0,0.0,0.0
3.283,188.775,188.947,122.867,129.268,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
3.300,188.660,188.803,122.860,129.263,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
3.317,188.518,188.654,122.830,129.262,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
3.333,188.402,188.535,122.829,129.256,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.350,185.834,185.808,122.762,129.225,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.367,185.694,185.673,122.727,129.214,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
3.383,185.556,185.519,122.750,129.182,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
3.400,185.417,185.360,122.745,129.150,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
3.417,185.283,185.194,122.749,129.146,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.433,185.164,185.037,122.771,129.118,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.450,185.031,184.868,122.738,129.145,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.467,184.895,184.704,122.730,129.159,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.483,184.742,184.565,122.725,129.183,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.500,184.590,184.389,122.723,129.204,0.000,0.000,0.000,0.000,21.480,0.0,0.0,0.0,0.0
3.517,184.465,184.231,122.718,129.199,0.000,0.000,0.000,0.000,21.480,0.0,0.0,0.0,0.0
3.533,184.349,184.072,122.741,129.209,0.000,0.000,0.000,0.000,21.470,0.0,0.0,0.0,0.0
3.550,184.217,183.912,122.740,129.211,0.000,0.000,0.000,0.000,21.450,0.0,0.0,0.0,0.0
3.567,184.084,183.753,122.766,129.210,0.000,0.000,0.000,0.000,21.450,0.0,0.0,0.0,0.0
3.583,183.967,183.595,122.764,129.207,0.000,0.000,0.000,0.000,21.480,0.0,0.0,0.0,0.0
3.600,183.837,183.421,122.735,129.230,0.000,0.000,0.000,0.000,21.470,0.0,0.0,0.0,0.0
3.617,183.703,183.288,122.763,129.225,0.000,0.000,0.000,0.000,21.470,0.0,0.0,0.0,0.0
3.633,183.573,183.129,122.758,129.225,0.000,0.000,0.000,0.000,21.470,0.0,0.0,0.0,0.0
3.650,182.009,181.307,122.712,129.119,0.000,0.000,0.000,0.000,21.480,0.0,0.0,0.0,0.0
3.667,181.884,181.157,122.712,129.144,0.000,0.000,0.000,0.000,21.480,0.0,0.0,0.0,0.0
3.683,181.765,181.016,122.727,129.132,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.700,181.647,180.850,122.751,129.128,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.717,181.527,180.707,122.750,129.153,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.733,181.431,180.585,122.746,129.143,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.750,181.313,180.464,122.768,129.140,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.767,181.211,180.343,122.737,129.160,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.783,181.100,180.205,122.737,129.156,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.800,180.989,180.045,122.705,129.143,0.000,0.000,0.000,0.000,21.480,0.0,0.0,0.0,0.0
3.817,180.897,179.931,122.676,129.139,0.000,0.000,0.000,0.000,21.480,0.0,0.0,0.0,0.0
3.833,180.529,179.547,122.610,129.135,0.000,0.000,0.000,0.000,21.480,0.0,0.0,0.0,0.0
3.850,180.421,179.409,122.578,129.103,0.000,0.000,0.000,0.000,21.480,0.0,0.0,0.0,0.0
3.867,180.311,179.278,122.571,129.102,0.000,0.000,0.000,0.000,21.480,0.0,0.0,0.0,0.0
3.883,180.205,179.145,122.543,129.095,0.000,0.000,0.000,0.000,21.480,0.0,0.0,0.0,0.0
3.900,180.084,179.014,122.543,129.061,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.917,179.981,178.885,122.532,129.056,0.000,0.000,0.000,0.000,21.500,0.0,0.0,0.0,0.0
3.933,179.858,178.757,122.554,129.054,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
3.950,179.736,178.628,122.553,129.023,0.000,0.000,0.000,0.000,21.510,0.0,0.0,0.0,0.0
3.967,179.535,178.397,122.577,129.013,0.000,0.000,0.000,0.000,21.520,0.0,0.0,0.0,0.0
